Year/Month,Becker County                   ,Carlton County                  ,Lac qui Parle County            ,Douglas County                  ,Cook County                     ,Isanti County                   ,Big Stone County                ,Kittson County                  ,Cass County                     ,Lincoln County                  ,Cottonwood County               ,Benton County                   ,Koochiching County              ,Blue Earth County               ,Beltrami County                 ,Carver County                   ,Brown County                    ,Hennepin County                 ,Aitkin County                   ,Grant County                    ,Kanabec County                  ,Lyon County                     ,Fillmore County                 ,Crow Wing County                ,Dodge County                    ,Lake of the Woods County        ,Chisago County                  ,Itasca County                   ,Clearwater County               ,Jackson County                  ,Faribault County                ,Dakota County                   ,Chippewa County                 ,Clay County                     ,Le Sueur County                 ,Hubbard County                  ,Freeborn County                 ,Lake County                     ,Houston County                  ,Goodhue County                  ,Kandiyohi County                ,Anoka County                    
2022 Annual Avg.,2.9,3.6,2.7,2.4,3.5,3.4,3.3,2.8,4.2,2.9,2.8,3.4,4,2.3,3.3,2.2,2.7,2.5,4.5,2.9,4.7,2.5,2.6,3.2,2.7,3.2,3.1,4.5,6.6,2.5,3.2,2.4,2.4,2.2,3.6,4.2,2.7,5,2.3,2.6,2.9,2.6
2021 Annual Avg.,3.6,4.4,3.1,3.1,4.8,4.5,3.8,3.2,4.9,3.7,3.7,4.7,4.8,3.4,4,3,3.4,3.8,5.2,4,5.7,3,3.3,4.4,3.4,4,4.1,5.1,6.5,3.5,4.1,3.5,3.2,3,4.6,4.4,3.8,3.9,3.1,3.5,3.9,3.8
2020 Annual Avg.,6.3,7.3,4.8,4.8,8.4,6.8,4.8,4.7,9.2,4.5,4.8,6.7,7.5,5.4,6.4,5.2,5.2,6.6,8.3,5.4,8.2,4.5,5.2,7.3,5.5,6.2,6.7,8.6,9.8,5.3,6.2,6.3,5.2,4.4,6.9,7.1,5.7,7.3,4.4,5.9,4.9,6.4
2019 Annual Avg.,4,4.5,3.8,3.2,4.3,4.1,4.2,3.7,5.6,3.8,3.7,3.9,6.3,2.8,4.3,2.8,3.6,2.8,6.2,4.5,5.9,3.2,3.3,4.4,3.4,4.2,3.8,6,8.3,3.5,4.2,2.9,3.9,3.1,4.5,5.4,3.5,3.6,3.2,3.1,3.5,3.1
2018 Annual Avg.,3.7,4.2,3.7,2.9,3.5,3.8,3.9,3,5.3,3.1,3.7,3.6,6.3,2.6,4.2,2.5,3.5,2.6,5.8,4.1,5.6,2.9,3.2,4.1,3.1,3.9,3.5,5.6,8.3,3,3.6,2.6,3.3,3,4.2,5.1,3.3,3.2,3,2.8,3,2.9
2017 Annual Avg.,4.2,4.8,3.5,3.2,3.9,4.4,4.5,3.7,6,3.2,5.3,4.1,7.2,2.9,4.9,3,3.7,3.1,6.3,4.1,6.1,3.2,3.5,4.5,3.4,4.7,4,7,8.9,3.7,4.2,3.1,4,3.2,4.7,5.7,3.7,3.9,3.5,3.3,3.3,3.4
2016 Annual Avg.,4.6,5.3,4.3,3.5,4.6,4.7,4.8,4.6,6.8,3.6,7.2,4.4,8.5,3.2,5.2,3.3,4.2,3.3,7,4.7,6.5,3.6,4,5.1,3.7,4.8,4.3,8.5,9.6,4.5,4.4,3.4,4.5,3.4,4.9,6.5,3.8,6.4,3.9,3.7,3.8,3.7
2015 Annual Avg.,4.5,5,4.2,3.5,4.5,4.4,4.5,4.7,6.8,3.6,4.9,4.5,8.3,3,5,3.2,4.2,3.4,6.7,4.8,6.7,3.3,4.2,5.3,3.8,4.6,4.3,6.6,9.3,4.1,4.5,3.4,4.5,3.2,4.9,6.3,3.9,4.9,3.9,3.6,3.8,3.7
2014 Annual Avg.,4.9,5.4,4.9,3.8,5.8,5.2,4.5,5,7.3,4.4,5.4,5.2,8.7,3.5,5.4,3.7,4.7,3.9,6.8,5.1,7.6,3.7,4.5,6,4.3,4.9,4.8,6.8,10.7,4.3,5.3,3.9,4.6,3.5,5.5,6.5,4.4,4.7,4.5,4,4.3,4.2
2013 Annual Avg.,5.6,6.1,5.7,4.5,5.9,6.1,5.5,6.1,8.3,4.7,5.9,6,8.4,4.2,6.3,4.4,5.3,4.7,7.6,5.8,8.3,4.2,5.1,7,4.8,5.8,5.7,7.8,10.8,4.2,5.5,4.6,5.2,4.4,6.2,7.3,5.1,6.3,5.1,4.8,4.8,5.1
2012 Annual Avg.,5.8,6.9,5.1,5.1,6.3,7,5.3,5.8,8.9,4.8,6.5,6.4,8,4.8,7,4.9,5.7,5.3,8.1,6.2,9.1,4.4,5.6,7.7,5.1,6.1,6.6,7.9,10.6,4.6,5.9,5.3,5.3,4.9,6.5,8.1,5.8,6,5.8,5.2,5.3,5.9
2011 Annual Avg.,7.2,7.6,6.1,6.1,6.9,8.3,6.5,6.9,10.1,5.2,6.2,7.6,8.4,5.4,8.2,5.5,5.9,6.1,9.6,6.9,10.1,5.3,6.7,8.8,6,6.2,7.6,9.1,11.9,5.4,7.1,6.1,6.3,5.6,7.6,9.2,6.7,6.9,6.9,6,6,6.9
2010 Annual Avg.,7.9,8.4,6.7,6.8,7.2,9.6,6.5,7.5,10.6,5.5,6.5,8.7,8.7,6.4,8.2,6.7,6.9,7,10.4,7.9,11.2,5.6,7.5,9.5,6.9,6.5,8.9,10.2,13.1,5.8,8,7,7.3,5.5,8.9,9.9,7.7,8.3,7.7,7,6.7,8
2009 Annual Avg.,8.6,8.5,6.1,6.6,7,10,5.7,7.2,10.6,5.8,6.3,8.5,9.4,6.4,8.6,7.2,7.3,7.3,10.3,8.3,13,5.8,8.1,9.6,7.4,7.6,9.9,10.8,14.7,5.4,9.2,7.2,7.7,4.8,10.6,9.9,8.4,9.1,7.9,7.6,6.7,8.4
2008 Annual Avg.,6.8,6.7,4.8,5,5.6,6.9,5.5,5.7,8.6,5.1,5.3,6.1,7.7,4.4,6.9,4.9,6,4.9,8.1,7,10.3,4.4,6.1,6.9,5.2,6,6.8,7.9,11.4,4.2,6.2,4.9,5.2,3.7,7.4,7.6,5.7,5.3,5.8,5.7,5,5.5
2007 Annual Avg.,5.7,5.7,4.1,4.4,4.8,6,4.7,5.7,7.1,4.5,4,5,7,3.7,6,3.9,4.8,4.1,6.8,5.9,8.3,3.8,5.1,5.6,4.3,5,5.8,7.2,10.3,3.9,5.2,4.1,4.3,3.4,6.1,6.4,4.9,4.5,5.1,4.9,4.3,4.5
2006 Annual Avg.,5.1,5.2,3.7,3.8,4.4,4.9,4.3,5.4,6.3,3.6,4.4,4.4,6.6,3.3,5.2,3.3,4.4,3.6,5.9,5.2,7,3.3,4.1,4.9,3.7,4.6,4.8,6,9.8,3.9,4.5,3.5,3.8,3.2,5.4,5.5,4.4,4.1,4.3,4.3,3.9,3.9
2005 Annual Avg.,5.4,5.8,3.9,3.8,4.4,4.8,4.6,5.2,6.2,3.6,4.3,4.7,6.1,3.3,5.3,3.4,4.3,3.7,6,5.6,6.7,3.3,4.2,4.9,3.9,4.5,4.8,5.9,10.1,3.4,4.8,3.6,4.1,3.4,5.4,5.4,4.7,4.3,4.5,4.4,4.1,3.9
2004 Annual Avg.,5.8,6.4,4.4,3.9,4.8,5.3,4.9,6.7,7.2,4.1,4.7,5.3,6.3,3.9,5.8,4,4.9,4.4,6.9,5.9,7.6,3.8,5,5.4,4.3,4.8,5.4,7.4,11,3.7,5.7,4.1,5,3.7,5.7,5.9,5.3,4.8,5.2,4.9,4.5,4.5
2003 Annual Avg.,6,6.4,4.4,3.9,4.9,5.7,4.7,7.5,7,4,4.6,5.4,6.5,3.9,5.5,4.3,5.4,4.7,7,6.2,8.1,4.3,5,5.8,4.4,4.6,5.8,7.5,11.2,4.2,5.2,4.3,5.2,3.6,6.3,6,5.4,4.7,5.3,4.8,4.4,4.8
2002 Annual Avg.,5.4,6.2,3.7,3.7,4.8,5.2,4.2,5.9,6,3.7,4.2,5,6,3.6,4.8,4.1,4.6,4.4,6.5,6.2,7.4,3.9,4.2,5.2,3.9,4.6,5.3,6.2,10.4,3.6,4.3,3.9,4.7,3.5,5.9,5.2,4.9,4.8,4.8,4.5,4.1,4.4
2001 Annual Avg.,5.3,5.7,4,3.6,4.7,4.2,4.3,5.2,5.7,3.5,3.8,4.3,5.6,3,4.6,3.2,4.1,3.5,6.4,5.5,6.4,3.7,3.6,4.4,3.4,4.5,4.5,6.2,9.8,3.3,4.3,3.1,4.9,3.3,5,5.1,4.6,5.2,4.4,3.4,3.5,3.5
