STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
Louisiana,20.1,28.6,42998.0,2012
Maine,14.4,19.8,46856.0,2012
Maryland,10.4,14.1,71169.0,2012
Massachusetts,11.9,15.4,65378.0,2012
Michigan,17.4,24.7,46793.0,2012
Minnesota,11.4,14.6,58828.0,2012
Mississippi,23.8,33.9,37179.0,2012
Missouri,16.2,22.6,45320.0,2012
Montana,15.6,21.1,45030.0,2012
Nebraska,12.8,17.4,50766.0,2012
Nevada,16.2,23.4,49909.0,2012
New Hampshire,9.7,13.6,63157.0,2012
New Jersey,10.7,15.4,69705.0,2012
New Mexico,20.6,28.9,42828.0,2012
New York,15.9,23.0,56357.0,2012
North Carolina,18.0,25.8,45195.0,2012
North Dakota,11.2,13.7,54579.0,2012
Ohio,16.2,23.6,46873.0,2012
Oklahoma,17.2,24.1,44336.0,2012
Oregon,17.0,22.7,49090.0,2012
Pennsylvania,13.7,19.6,51225.0,2012
Rhode Island,14.2,20.8,54002.0,2012
South Carolina,18.3,26.8,43290.0,2012
South Dakota,13.6,18.5,48439.0,2012
Tennessee,18.0,26.1,42743.0,2012
Texas,17.9,25.8,50747.0,2012
Utah,13.0,15.5,57067.0,2012
Vermont,11.9,15.7,52700.0,2012
Virginia,11.8,15.5,61782.0,2012
Washington,13.6,18.5,57574.0,2012
West Virginia,18.0,25.1,40188.0,2012
Wisconsin,13.2,18.3,51063.0,2012
Wyoming,11.9,15.4,55104.0,2012
Alabama,18.9,27.4,42882.0,2013
Alaska,10.1,13.6,70058.0,2013
Arizona,18.6,26.6,48504.0,2013
Arkansas,19.4,28.3,40605.0,2013
California,16.8,23.5,60185.0,2013
Colorado,12.9,16.8,58942.0,2013
Connecticut,10.7,14.5,67262.0,2013
Delaware,12.9,19.1,58244.0,2013
Florida,17.1,24.8,46021.0,2013
Georgia,19.0,26.7,47765.0,2013
Hawaii,11.2,14.4,67798.0,2013
Idaho,15.6,19.2,46621.0,2013
Illinois,14.6,20.6,56212.0,2013
Indiana,15.8,21.9,47508.0,2013
Iowa,12.6,16.0,52286.0,2013
Kansas,13.9,18.4,50892.0,2013
Kentucky,18.8,25.5,43307.0,2013
Louisiana,20.0,28.4,44234.0,2013
Maine,14.0,18.2,47095.0,2013
Maryland,10.2,13.9,72482.0,2013
Massachusetts,11.9,16.2,66794.0,2013
Michigan,17.0,23.7,48200.0,2013
Minnesota,11.2,14.0,60664.0,2013
Mississippi,23.9,34.0,38191.0,2013
Missouri,15.8,22.2,46905.0,2013
Montana,16.1,20.8,46893.0,2013
Nebraska,12.9,17.1,51502.0,2013
Nevada,15.8,22.7,51250.0,2013
New Hampshire,9.0,10.9,64064.0,2013
New Jersey,11.4,16.5,70224.0,2013
New Mexico,21.4,30.1,44026.0,2013
New York,16.0,22.9,57255.0,2013
North Carolina,17.8,25.1,45946.0,2013
North Dakota,11.6,12.4,56800.0,2013
Ohio,15.9,22.7,48138.0,2013
Oklahoma,16.7,23.8,45724.0,2013
Oregon,16.5,21.6,50228.0,2013
Pennsylvania,13.7,19.2,52005.0,2013
Rhode Island,14.7,22.0,55015.0,2013
South Carolina,18.5,27.3,44310.0,2013
South Dakota,14.0,18.6,49200.0,2013
Tennessee,17.8,26.5,44268.0,2013
Texas,17.5,25.0,51714.0,2013
Utah,12.6,14.6,59715.0,2013
Vermont,12.3,15.2,52511.0,2013
Virginia,11.7,15.7,62745.0,2013
Washington,14.1,18.6,58431.0,2013
West Virginia,18.4,26.3,41195.0,2013
Wisconsin,13.5,18.4,51474.0,2013
Wyoming,10.9,13.5,58424.0,2013
Alabama,19.2,27.4,42917.0,2014
Alaska,11.4,15.5,70898.0,2014
Arizona,18.2,25.6,50036.0,2014
Arkansas,18.7,26.3,41335.0,2014
California,16.4,22.6,61927.0,2014
Colorado,12.1,15.6,61324.0,2014
Connecticut,10.8,14.9,70007.0,2014
Delaware,13.0,19.2,59853.0,2014
Florida,16.6,24.2,47439.0,2014
Georgia,18.4,26.3,49240.0,2014
Hawaii,11.5,15.2,69549.0,2014
Idaho,14.8,19.0,47572.0,2014
Illinois,14.3,20.1,57458.0,2014
Indiana,15.2,21.2,49384.0,2014
Iowa,12.3,15.5,53816.0,2014
Kansas,13.5,17.6,52392.0,2014
Kentucky,19.0,25.9,42914.0,2014
Louisiana,19.9,28.0,44680.0,2014
Maine,14.0,19.0,49381.0,2014
Maryland,10.4,13.8,73851.0,2014
Massachusetts,11.7,15.3,69200.0,2014
Michigan,16.2,22.6,49755.0,2014
Minnesota,11.4,14.8,61473.0,2014
Mississippi,21.9,30.7,39738.0,2014
Missouri,15.5,21.3,48288.0,2014
Montana,15.2,19.2,46608.0,2014
Nebraska,12.3,16.0,52803.0,2014
Nevada,15.4,22.2,51487.0,2014
New Hampshire,9.2,12.6,66469.0,2014
New Jersey,11.1,15.8,71968.0,2014
New Mexico,20.6,28.0,44905.0,2014
New York,16.0,22.9,58771.0,2014
North Carolina,17.2,24.1,46596.0,2014
North Dakota,11.1,13.7,60227.0,2014
Ohio,15.8,22.7,49349.0,2014
Oklahoma,16.6,22.4,47524.0,2014
Oregon,16.4,21.3,51088.0,2014
Pennsylvania,13.6,19.2,53224.0,2014
Rhode Island,14.8,21.2,54797.0,2014
South Carolina,17.9,26.4,45337.0,2014
South Dakota,14.1,18.4,51059.0,2014
Tennessee,18.2,25.9,44357.0,2014
Texas,17.2,24.5,53067.0,2014
Utah,11.8,13.4,60943.0,2014
Vermont,12.0,15.4,54153.0,2014
Virginia,11.8,15.9,64923.0,2014
Washington,13.2,17.5,61358.0,2014
West Virginia,18.3,25.0,41030.0,2014
Wisconsin,13.2,18.4,52632.0,2014
Wyoming,11.2,13.7,58291.0,2014
Alabama,18.5,26.5,44833.0,2015
Alaska,10.4,14.5,73391.0,2015
Arizona,17.4,24.7,51473.0,2015
Arkansas,18.7,26.4,42046.0,2015
California,15.4,21.2,64483.0,2015
Colorado,11.5,14.8,63945.0,2015
Connecticut,10.6,14.6,71333.0,2015
Delaware,12.6,19.1,61327.0,2015
Florida,15.8,23.4,49416.0,2015
Georgia,17.2,24.7,51225.0,2015
Hawaii,10.7,14.5,73097.0,2015
Idaho,14.7,17.7,48311.0,2015
Illinois,13.6,19.1,59590.0,2015
Indiana,14.4,20.4,50510.0,2015
Iowa,12.1,14.9,54843.0,2015
Kansas,12.9,16.9,53802.0,2015
Kentucky,18.3,25.3,45178.0,2015
Louisiana,19.5,28.1,45829.0,2015
Maine,13.2,17.5,51419.0,2015
Maryland,9.9,13.9,75784.0,2015
Massachusetts,11.5,14.9,70659.0,2015
Michigan,15.7,22.2,51063.0,2015
Minnesota,10.2,13.1,63459.0,2015
Mississippi,22.1,31.5,40630.0,2015
Missouri,14.8,20.4,50200.0,2015
Montana,14.4,18.8,49650.0,2015
Nebraska,12.2,15.9,55073.0,2015
Nevada,14.9,21.6,52544.0,2015
New Hampshire,8.4,11.0,70003.0,2015
New Jersey,10.8,15.5,72337.0,2015
New Mexico,19.8,27.2,45524.0,2015
New York,15.5,22.3,60805.0,2015
North Carolina,16.4,23.4,47884.0,2015
North Dakota,10.7,12.1,61674.0,2015
Ohio,14.8,21.2,51086.0,2015
Oklahoma,16.0,22.0,48595.0,2015
Oregon,15.2,19.8,54074.0,2015
Pennsylvania,13.1,19.1,55683.0,2015
Rhode Island,14.1,20.6,57265.0,2015
South Carolina,16.8,24.4,47308.0,2015
South Dakota,13.5,17.7,53263.0,2015
Tennessee,16.7,24.1,47243.0,2015
Texas,15.9,22.9,55668.0,2015
Utah,11.2,12.8,62961.0,2015
Vermont,10.4,13.7,56883.0,2015
Virginia,11.2,15.0,66263.0,2015
Washington,12.2,15.7,64080.0,2015
West Virginia,18.0,24.7,41969.0,2015
Wisconsin,12.1,16.5,55623.0,2015
Wyoming,10.6,13.0,61213.0,2015
Alabama,17.2,24.7,46309.0,2016
Alaska,9.9,13.6,76144.0,2016
Arizona,16.4,23.6,53481.0,2016
Arkansas,17.2,24.0,44406.0,2016
California,14.4,19.9,67715.0,2016
Colorado,11.0,13.4,65718.0,2016
Connecticut,9.9,13.1,73380.0,2016
Delaware,11.8,17.7,62112.0,2016
Florida,14.8,21.3,50857.0,2016
Georgia,16.1,23.1,53468.0,2016
Hawaii,9.5,11.2,74659.0,2016
Idaho,13.8,16.6,51647.0,2016
Illinois,13.0,17.8,60977.0,2016
Indiana,14.0,19.1,52289.0,2016
Iowa,11.7,14.6,56354.0,2016
Kansas,12.2,14.3,54828.0,2016
Kentucky,18.2,24.4,46610.0,2016
Louisiana,20.1,28.4,45374.0,2016
Maine,12.3,16.7,52926.0,2016
Maryland,9.7,13.0,78787.0,2016
Massachusetts,10.5,13.6,75207.0,2016
Michigan,14.9,20.7,52436.0,2016
Minnesota,9.9,12.5,65583.0,2016
Mississippi,21.0,30.2,41793.0,2016
Missouri,14.0,19.2,51713.0,2016
Montana,13.4,16.1,50265.0,2016
Nebraska,11.3,13.9,56979.0,2016
Nevada,14.1,19.9,55201.0,2016
New Hampshire,7.6,8.5,70986.0,2016
New Jersey,10.4,14.5,76212.0,2016
New Mexico,19.1,27.8,46844.0,2016
New York,14.8,20.8,62700.0,2016
North Carolina,15.4,21.7,50595.0,2016
North Dakota,10.5,11.9,61898.0,2016
Ohio,14.5,20.4,52357.0,2016
Oklahoma,16.1,22.5,49204.0,2016
Oregon,13.4,17.2,57379.0,2016
Pennsylvania,12.9,18.4,56897.0,2016
Rhode Island,13.3,18.7,60046.0,2016
South Carolina,15.3,23.0,49587.0,2016
South Dakota,12.9,16.6,54926.0,2016
Tennessee,15.8,22.6,48506.0,2016
Texas,15.6,22.4,56583.0,2016
Utah,10.2,11.0,65931.0,2016
Vermont,11.3,13.5,57661.0,2016
Virginia,11.0,14.3,68127.0,2016
Washington,11.3,13.9,67064.0,2016
West Virginia,17.9,23.9,43175.0,2016
Wisconsin,11.8,15.7,56808.0,2016
Wyoming,10.9,11.6,61686.0,2016
Alabama,16.9,24.4,48193.0,2017
Alaska,11.0,14.5,74058.0,2017
Arizona,14.9,21.0,56508.0,2017
Arkansas,16.3,22.5,45916.0,2017
California,13.3,18.1,71785.0,2017
Colorado,10.3,12.2,69113.0,2017
Connecticut,9.7,13.0,74428.0,2017
Delaware,13.0,17.7,64085.0,2017
Florida,14.1,20.6,52582.0,2017
Georgia,15.1,21.5,56117.0,2017
Hawaii,9.5,11.9,77936.0,2017
Idaho,12.6,14.8,52280.0,2017
Illinois,12.5,17.0,63044.0,2017
Indiana,13.3,17.8,54134.0,2017
Iowa,10.8,12.6,58706.0,2017
Kansas,11.9,14.7,56382.0,2017
Kentucky,17.1,22.1,48332.0,2017
Louisiana,19.6,27.7,46283.0,2017
Maine,11.3,14.2,55980.0,2017
Maryland,9.4,12.4,80711.0,2017
Massachusetts,10.5,13.5,77385.0,2017
Michigan,14.1,19.6,54840.0,2017
Minnesota,9.5,11.7,68364.0,2017
Mississippi,19.9,27.6,43595.0,2017
Missouri,13.4,18.5,53506.0,2017
Montana,12.7,15.9,53262.0,2017
Nebraska,10.7,13.7,59913.0,2017
Nevada,13.3,19.2,57932.0,2017
New Hampshire,7.7,10.0,73638.0,2017
New Jersey,10.0,13.8,80106.0,2017
New Mexico,19.0,25.9,47086.0,2017
New York,14.1,19.9,64783.0,2017
North Carolina,14.7,21.0,52797.0,2017
North Dakota,10.2,11.4,62400.0,2017
Ohio,13.9,19.8,54077.0,2017
Oklahoma,15.8,21.3,50051.0,2017
Oregon,13.2,16.5,60123.0,2017
Pennsylvania,12.5,16.9,59165.0,2017
Rhode Island,12.3,18.2,62923.0,2017
South Carolina,15.4,22.3,50675.0,2017
South Dakota,12.8,16.3,56871.0,2017
Tennessee,15.0,21.1,51319.0,2017
Texas,14.7,21.0,59195.0,2017
Utah,9.7,10.6,68395.0,2017
Vermont,10.8,12.8,58271.0,2017
Virginia,10.7,14.0,71518.0,2017
Washington,11.0,14.2,70942.0,2017
West Virginia,18.5,24.4,43238.0,2017
Wisconsin,11.3,14.6,59300.0,2017
Wyoming,10.8,12.9,61279.0,2017
Alabama,16.8,23.9,49881.0,2018
Alaska,11.1,14.5,74912.0,2018
Arizona,14.1,20.4,59079.0,2018
Arkansas,16.8,23.8,47094.0,2018
California,12.8,17.4,75250.0,2018
Colorado,9.7,12.1,71949.0,2018
Connecticut,10.3,13.8,76366.0,2018
Delaware,12.2,17.6,65467.0,2018
Florida,13.7,20.0,55433.0,2018
Georgia,14.5,21.0,58634.0,2018
Hawaii,9.0,11.8,80527.0,2018
Idaho,11.7,14.2,55524.0,2018
Illinois,12.1,16.2,65063.0,2018
Indiana,13.0,17.5,55725.0,2018
Iowa,11.2,13.5,60071.0,2018
Kansas,11.9,14.8,58150.0,2018
Kentucky,16.7,22.3,50189.0,2018
Louisiana,18.7,26.5,48021.0,2018
Maine,11.6,14.8,55579.0,2018
Maryland,9.1,12.1,83076.0,2018
Massachusetts,10.0,12.4,79817.0,2018
Michigan,14.0,19.3,56640.0,2018
Minnesota,9.6,11.5,70295.0,2018
Mississippi,19.8,28.2,44740.0,2018
Missouri,13.2,18.3,54412.0,2018
Montana,12.9,16.4,55248.0,2018
Nebraska,11.0,12.9,59724.0,2018
Nevada,13.1,18.4,58740.0,2018
New Hampshire,7.6,10.1,75322.0,2018
New Jersey,9.5,13.5,81777.0,2018
New Mexico,18.8,25.3,47405.0,2018
New York,13.7,18.8,67648.0,2018
North Carolina,14.1,20.2,53922.0,2018
North Dakota,10.6,11.0,65250.0,2018
Ohio,13.8,19.2,56155.0,2018
Oklahoma,15.5,21.4,51914.0,2018
Oregon,12.5,15.7,63168.0,2018
Pennsylvania,12.2,16.7,60891.0,2018
Rhode Island,12.8,18.0,63787.0,2018
South Carolina,15.2,22.1,52449.0,2018
South Dakota,12.9,16.1,57041.0,2018
Tennessee,15.2,21.8,52366.0,2018
Texas,14.9,21.1,60632.0,2018
Utah,9.1,9.7,71381.0,2018
Vermont,10.7,12.2,60917.0,2018
Virginia,10.7,13.8,72600.0,2018
Washington,10.3,12.6,74023.0,2018
West Virginia,17.4,23.2,44038.0,2018
Wisconsin,11.1,14.1,60779.0,2018
Wyoming,10.7,13.1,62259.0,2018
Alabama,15.6,21.9,51771.0,2019
Alaska,10.2,13.2,77203.0,2019
Arizona,13.5,19.2,62027.0,2019
Arkansas,16.0,21.7,49020.0,2019
California,11.8,15.6,80423.0,2019
Colorado,9.4,11.2,77104.0,2019
Connecticut,9.9,13.5,78920.0,2019
Delaware,11.2,16.3,70348.0,2019
Florida,12.7,18.2,59198.0,2019
Georgia,13.5,19.5,61950.0,2019
Hawaii,9.0,11.2,83734.0,2019
Idaho,11.0,12.7,60830.0,2019
Illinois,11.4,15.6,69212.0,2019
Indiana,11.9,15.1,57617.0,2019
Iowa,11.0,12.8,61807.0,2019
Kansas,11.3,14.3,62028.0,2019
Kentucky,16.0,20.9,52256.0,2019
Louisiana,18.8,26.4,51108.0,2019
Maine,10.9,13.8,58824.0,2019
Maryland,9.1,12.3,86644.0,2019
Massachusetts,9.5,12.0,85700.0,2019
Michigan,12.9,17.5,59522.0,2019
Minnesota,8.9,11.0,74529.0,2019
Mississippi,19.5,27.6,45928.0,2019
Missouri,12.9,17.0,57375.0,2019
Montana,12.6,15.4,57248.0,2019
Nebraska,9.9,11.5,63290.0,2019
Nevada,12.7,17.6,63268.0,2019
New Hampshire,7.5,8.1,78571.0,2019
New Jersey,9.1,12.2,85786.0,2019
New Mexico,17.5,23.5,52021.0,2019
New York,13.1,18.2,72038.0,2019
North Carolina,13.6,19.3,57388.0,2019
North Dakota,10.5,10.9,67402.0,2019
Ohio,13.0,18.1,58704.0,2019
Oklahoma,15.1,19.7,54447.0,2019
Oregon,11.5,13.6,66955.0,2019
Pennsylvania,12.0,16.5,63455.0,2019
Rhode Island,11.6,16.5,70383.0,2019
South Carolina,13.9,19.9,56360.0,2019
South Dakota,11.9,14.9,60414.0,2019
Tennessee,13.8,19.4,56047.0,2019
Texas,13.6,19.2,64044.0,2019
Utah,8.8,9.6,75705.0,2019
Vermont,10.1,10.8,63293.0,2019
Virginia,9.9,13.3,76471.0,2019
Washington,9.8,12.0,78674.0,2019
West Virginia,16.2,20.8,48659.0,2019
Wisconsin,10.4,13.5,64177.0,2019
Wyoming,9.9,11.7,66152.0,2019
Alabama,14.9,20.9,53958.0,2020
Alaska,9.6,12.3,79961.0,2020
Arizona,12.8,17.6,64652.0,2020
Arkansas,15.2,20.8,51146.0,2020
California,11.5,14.6,83001.0,2020
Colorado,9.0,10.6,77688.0,2020
Connecticut,9.7,11.8,79723.0,2020
Delaware,10.9,15.1,71335.0,2020
Florida,12.4,17.2,61724.0,2020
Georgia,14.0,19.5,62800.0,2020
Hawaii,8.9,10.4,86878.0,2020
Idaho,10.1,11.6,62603.0,2020
Illinois,11.0,13.9,71243.0,2020
Indiana,11.6,14.9,60794.0,2020
Iowa,10.2,12.0,62362.0,2020
Kansas,10.6,13.0,63214.0,2020
Kentucky,14.9,19.4,54074.0,2020
Louisiana,17.8,24.3,51730.0,2020
Maine,10.6,12.8,59145.0,2020
Maryland,9.0,11.2,88589.0,2020
Massachusetts,9.4,10.9,87288.0,2020
Michigan,12.6,16.8,61352.0,2020
Minnesota,8.3,9.5,75489.0,2020
Mississippi,18.7,26.0,47368.0,2020
Missouri,12.1,15.5,58812.0,2020
Montana,12.4,14.6,57730.0,2020
Nebraska,9.2,10.1,64735.0,2020
Nevada,12.5,16.7,64608.0,2020
New Hampshire,7.0,8.4,81415.0,2020
New Jersey,9.4,12.6,87095.0,2020
New Mexico,16.8,21.6,52285.0,2020
New York,12.7,16.7,73354.0,2020
North Carolina,12.9,17.9,59616.0,2020
North Dakota,10.2,10.9,64289.0,2020
Ohio,12.6,16.6,60360.0,2020
Oklahoma,14.3,18.6,54512.0,2020
Oregon,11.0,12.2,67832.0,2020
Pennsylvania,10.9,14.3,64898.0,2020
Rhode Island,10.6,14.5,73919.0,2020
South Carolina,13.8,18.7,57216.0,2020
South Dakota,11.6,13.9,61149.0,2020
Tennessee,13.6,18.4,56962.0,2020
Texas,13.4,18.8,66048.0,2020
Utah,7.3,7.5,77785.0,2020
Vermont,9.4,10.0,67717.0,2020
Virginia,9.2,12.2,79154.0,2020
Washington,9.5,11.0,80319.0,2020
West Virginia,15.8,20.3,49202.0,2020
Wisconsin,10.0,12.4,64901.0,2020
Wyoming,9.2,10.3,67284.0,2020
Alabama,16.3,22.7,53990.0,2021
Alaska,10.8,13.5,78437.0,2021
Arizona,12.9,17.8,68967.0,2021
Arkansas,16.0,21.8,52577.0,2021
California,12.3,15.8,84831.0,2021
Colorado,9.7,11.8,82228.0,2021
Connecticut,10.1,12.9,83628.0,2021
Delaware,11.5,16.2,71636.0,2021
Florida,13.2,18.4,63054.0,2021
Georgia,14.2,20.5,66507.0,2021
Hawaii,10.9,12.9,85547.0,2021
Idaho,10.8,12.5,66318.0,2021
Illinois,12.1,15.9,72215.0,2021
Indiana,12.1,15.7,62723.0,2021
Iowa,11.0,12.4,65645.0,2021
Kansas,11.6,13.5,64128.0,2021
Kentucky,16.3,21.2,55532.0,2021
Louisiana,19.5,26.9,52090.0,2021
Maine,11.2,13.8,64823.0,2021
Maryland,10.3,14.0,90129.0,2021
Massachusetts,10.4,12.8,89577.0,2021
Michigan,13.0,17.6,63444.0,2021
Minnesota,9.3,10.8,77712.0,2021
Mississippi,19.2,27.1,48871.0,2021
Missouri,12.8,16.5,61815.0,2021
Montana,12.0,14.9,63357.0,2021
Nebraska,10.5,12.1,66949.0,2021
Nevada,14.0,18.8,66194.0,2021
New Hampshire,7.4,9.3,88268.0,2021
New Jersey,10.2,13.9,89227.0,2021
New Mexico,17.7,23.1,54304.0,2021
New York,14.0,18.8,74230.0,2021
North Carolina,13.5,18.2,61997.0,2021
North Dakota,10.9,11.5,67603.0,2021
Ohio,13.3,18.2,62286.0,2021
Oklahoma,15.4,20.5,55829.0,2021
Oregon,12.2,13.8,71441.0,2021
Pennsylvania,12.0,16.3,68931.0,2021
Rhode Island,12.1,17.0,73324.0,2021
South Carolina,14.5,19.7,59447.0,2021
South Dakota,11.9,14.4,66843.0,2021
Tennessee,13.7,18.4,59698.0,2021
Texas,14.2,19.5,66959.0,2021
Utah,8.7,8.5,79449.0,2021
Vermont,10.2,11.2,72415.0,2021
Virginia,10.3,13.3,80926.0,2021
Washington,9.9,12.0,84155.0,2021
West Virginia,16.8,21.4,51122.0,2021
Wisconsin,10.8,13.6,67150.0,2021
Wyoming,10.6,12.1,66508.0,2021
